instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
46,2011-01-02,1,0,1,21,1,6,0,1,0.0627,0.0201,0.4197,0.3306,2,4,6
47,2011-01-02,1,0,1,22,1,6,0,1,0.0763,0.0392,0.379,0.3543,1,1,2
48,2011-01-02,1,0,1,23,1,6,0,1,0.073,0.0215,0.3738,0.3593,0,2,2
49,2011-01-03,1,0,1,0,0,0,1,2,0.0723,0.0947,0.4757,0.075,1,3,4
50,2011-01-03,1,0,1,1,0,0,1,2,0.0715,0.0678,0.4261,0.0566,1,3,4
51,2011-01-03,1,0,1,2,0,0,1,2,0.0642,0.0713,0.4509,0.0511,1,3,4
52,2011-01-03,1,0,1,3,0,0,1,2,0.0634,0.066,0.4483,0.0399,2,6,8
53,2011-01-03,1,0,1,4,0,0,1,2,0.0848,0.0758,0.4217,0.0692,7,18,25
54,2011-01-03,1,0,1,5,0,0,1,2,0.0769,0.065,0.4383,0.0345,15,36,51
55,2011-01-03,1,0,1,6,0,0,1,2,0.1013,0.077,0.4108,0.0659,24,59,83
56,2011-01-03,1,0,1,7,0,0,1,2,0.0757,0.0845,0.4061,0.0553,49,124,173
57,2011-01-03,1,0,1,8,0,0,1,2,0.0716,0.074,0.4176,0.068,39,98,137
58,2011-01-03,1,0,1,9,0,0,1,2,0.0804,0.0774,0.3941,0.0683,39,98,137
59,2011-01-03,1,0,1,10,0,0,1,2,0.0687,0.0923,0.3949,0.0684,33,84,117
60,2011-01-03,1,0,1,11,0,0,1,2,0.0699,0.0705,0.4531,0.068,15,36,51
61,2011-01-03,1,0,1,12,0,0,1,2,0.0697,0.0927,0.4365,0.0919,11,26,37
62,2011-01-03,1,0,1,13,0,0,1,2,0.082,0.0914,0.4276,0.0719,9,24,33
63,2011-01-03,1,0,1,14,0,0,1,2,0.0782,0.0595,0.4391,0.0432,24,59,83
64,2011-01-03,1,0,1,15,0,0,1,2,0.0851,0.0814,0.4315,0.0614,40,102,142
65,2011-01-03,1,0,1,16,0,0,1,2,0.0637,0.0691,0.4038,0.0522,55,138,193
66,2011-01-03,1,0,1,17,0,0,1,2,0.0677,0.0721,0.4544,0.0457,60,152,212
67,2011-01-03,1,0,1,18,0,0,1,2,0.0968,0.085,0.4197,0.0376,63,158,221
68,2011-01-03,1,0,1,19,0,0,1,2,0.0641,0.0809,0.3978,0.0706,38,97,135
69,2011-01-03,1,0,1,20,0,0,1,2,0.0948,0.0716,0.4654,0.0677,21,52,73
70,2011-01-03,1,0,1,21,0,0,1,2,0.0973,0.081,0.477,0.053,11,28,39
71,2011-01-03,1,0,1,22,0,0,1,2,0.0779,0.0909,0.4064,0.089,3,6,9
72,2011-01-03,1,0,1,23,0,0,1,2,0.0898,0.079,0.4234,0.0588,1,2,3
73,2011-01-04,1,0,1,0,0,1,1,1,0.0558,0.041,0.7476,0.2337,1,4,5
74,2011-01-04,1,0,1,1,0,1,1,1,0.0657,0.0549,0.7193,0.219,1,3,4
75,2011-01-04,1,0,1,2,0,1,1,1,0.0369,0.056,0.7796,0.2449,1,4,5
76,2011-01-04,1,0,1,3,0,1,1,1,0.0671,0.0339,0.706,0.2107,2,6,8
77,2011-01-04,1,0,1,4,0,1,1,1,0.06,0.0506,0.7005,0.2093,7,22,29
78,2011-01-04,1,0,1,5,0,1,1,1,0.0615,0.0524,0.7666,0.262,12,37,49
79,2011-01-04,1,0,1,6,0,1,1,1,0.053,0.0405,0.7015,0.2533,26,86,112
80,2011-01-04,1,0,1,7,0,1,1,1,0.0623,0.0313,0.754,0.2586,39,126,165
81,2011-01-04,1,0,1,8,0,1,1,1,0.0479,0.0578,0.778,0.2543,41,134,175
82,2011-01-04,1,0,1,9,0,1,1,1,0.0599,0.0455,0.7644,0.2328,35,114,149
83,2011-01-04,1,0,1,10,0,1,1,1,0.0617,0.047,0.7643,0.2537,24,78,102
84,2011-01-04,1,0,1,11,0,1,1,1,0.0491,0.0302,0.7494,0.2635,12,40,52
85,2011-01-04,1,0,1,12,0,1,1,1,0.0547,0.0324,0.752,0.2205,9,30,39
86,2011-01-04,1,0,1,13,0,1,1,1,0.0426,0.0266,0.7621,0.2177,9,31,40
87,2011-01-04,1,0,1,14,0,1,1,1,0.0725,0.0593,0.6964,0.2185,23,75,98
88,2011-01-04,1,0,1,15,0,1,1,1,0.0546,0.0416,0.7762,0.2461,42,137,179
89,2011-01-04,1,0,1,16,0,1,1,1,0.0445,0.0308,0.6963,0.238,58,187,245
90,2011-01-04,1,0,1,17,0,1,1,1,0.0406,0.0599,0.777,0.2153,56,183,239
91,2011-01-04,1,0,1,18,0,1,1,1,0.0475,0.0324,0.6959,0.2241,51,165,216
92,2011-01-04,1,0,1,19,0,1,1,1,0.0658,0.0375,0.7345,0.2041,46,149,195
93,2011-01-04,1,0,1,20,0,1,1,1,0.0606,0.0328,0.7828,0.2363,22,72,94
94,2011-01-04,1,0,1,21,0,1,1,1,0.0586,0.0481,0.7289,0.2311,10,31,41
95,2011-01-04,1,0,1,22,0,1,1,1,0.0419,0.056,0.7585,0.2361,3,8,11
96,2011-01-04,1,0,1,23,0,1,1,1,0.0707,0.0532,0.777,0.2465,1,3,4
97,2011-01-05,1,0,1,0,0,2,1,2,0.0769,0.089,0.5067,0.3756,1,5,6
98,2011-01-05,1,0,1,1,0,2,1,2,0.0608,0.0831,0.5563,0.3592,1,5,6
99,2011-01-05,1,0,1,2,0,2,1,2,0.0576,0.1041,0.4813,0.3778,1,4,5
100,2011-01-05,1,0,1,3,0,2,1,2,0.0492,0.0881,0.5627,0.3296,2,7,9
101,2011-01-05,1,0,1,4,0,2,1,2,0.0609,0.0722,0.4954,0.3704,7,20,27
102,2011-01-05,1,0,1,5,0,2,1,2,0.0651,0.0831,0.5513,0.364,17,51,68
103,2011-01-05,1,0,1,6,0,2,1,2,0.0451,0.0779,0.561,0.3645,30,89,119
104,2011-01-05,1,0,1,7,0,2,1,2,0.0472,0.1034,0.508,0.3404,38,115,153
105,2011-01-05,1,0,1,8,0,2,1,2,0.0514,0.1055,0.4888,0.3614,42,126,168
106,2011-01-05,1,0,1,9,0,2,1,2,0.0763,0.0891,0.5392,0.3804,36,107,143
107,2011-01-05,1,0,1,10,0,2,1,2,0.0683,0.0936,0.5007,0.3498,27,79,106
108,2011-01-05,1,0,1,11,0,2,1,2,0.0395,0.0943,0.4911,0.3705,15,47,62
109,2011-01-05,1,0,1,12,0,2,1,2,0.0578,0.0991,0.4977,0.3758,11,31,42
110,2011-01-05,1,0,1,13,0,2,1,2,0.0644,0.0861,0.5395,0.3701,11,31,42
111,2011-01-05,1,0,1,14,0,2,1,2,0.0449,0.0885,0.5551,0.347,26,79,105
112,2011-01-05,1,0,1,15,0,2,1,2,0.0637,0.1091,0.4858,0.3759,44,131,175
113,2011-01-05,1,0,1,16,0,2,1,2,0.0411,0.1069,0.5218,0.337,76,229,305
114,2011-01-05,1,0,1,17,0,2,1,2,0.0728,0.1081,0.527,0.3752,65,195,260
115,2011-01-05,1,0,1,18,0,2,1,2,0.0662,0.0876,0.5359,0.373,59,176,235
116,2011-01-05,1,0,1,19,0,2,1,2,0.052,0.1082,0.4811,0.3294,44,130,174
117,2011-01-05,1,0,1,20,0,2,1,2,0.0501,0.0803,0.5667,0.3405,24,72,96
118,2011-01-05,1,0,1,21,0,2,1,2,0.0613,0.0734,0.5691,0.3678,12,36,48
119,2011-01-05,1,0,1,22,0,2,1,2,0.058,0.0793,0.5534,0.3671,4,11,15
120,2011-01-05,1,0,1,23,0,2,1,2,0.0586,0.096,0.5259,0.3569,1,4,5
121,2011-01-06,1,0,1,0,0,3,1,1,0.1388,0.0611,0.7154,0.5057,1,2,3
122,2011-01-06,1,0,1,1,0,3,1,1,0.1585,0.0623,0.7454,0.4804,1,2,3
123,2011-01-06,1,0,1,2,0,3,1,1,0.1418,0.0609,0.7553,0.4991,1,2,3
124,2011-01-06,1,0,1,3,0,3,1,1,0.1602,0.0747,0.746,0.479,1,4,5
125,2011-01-06,1,0,1,4,0,3,1,1,0.1327,0.0769,0.7135,0.4638,4,13,17
126,2011-01-06,1,0,1,5,0,3,1,1,0.1355,0.0553,0.7117,0.5008,8,27,35
127,2011-01-06,1,0,1,6,0,3,1,1,0.132,0.0592,0.7775,0.489,18,60,78
128,2011-01-06,1,0,1,7,0,3,1,1,0.1409,0.0571,0.7044,0.4702,30,99,129
129,2011-01-06,1,0,1,8,0,3,1,1,0.1411,0.076,0.7087,0.5143,30,101,131
130,2011-01-06,1,0,1,9,0,3,1,1,0.1429,0.074,0.7128,0.4855,22,74,96
131,2011-01-06,1,0,1,10,0,3,1,1,0.1683,0.0673,0.7643,0.4973,19,63,82
132,2011-01-06,1,0,1,11,0,3,1,1,0.1456,0.0849,0.7784,0.504,11,37,48
133,2011-01-06,1,0,1,12,0,3,1,1,0.1356,0.0562,0.7144,0.4823,6,19,25
134,2011-01-06,1,0,1,13,0,3,1,1,0.1483,0.0769,0.7884,0.4958,8,27,35
135,2011-01-06,1,0,1,14,0,3,1,1,0.1435,0.0596,0.7865,0.5028,16,51,67
136,2011-01-06,1,0,1,15,0,3,1,1,0.1363,0.0603,0.7154,0.4704,23,77,100
137,2011-01-06,1,0,1,16,0,3,1,1,0.1339,0.0796,0.7702,0.4859,46,152,198
138,2011-01-06,1,0,1,17,0,3,1,1,0.1586,0.0648,0.7954,0.5063,49,161,210
139,2011-01-06,1,0,1,18,0,3,1,1,0.1605,0.0892,0.7961,0.4654,39,129,168
140,2011-01-06,1,0,1,19,0,3,1,1,0.1347,0.0518,0.7299,0.456,30,97,127
141,2011-01-06,1,0,1,20,0,3,1,1,0.1513,0.0535,0.7423,0.4988,17,55,72
142,2011-01-06,1,0,1,21,0,3,1,1,0.1527,0.078,0.7834,0.4679,7,23,30
143,2011-01-06,1,0,1,22,0,3,1,1,0.144,0.0705,0.7426,0.49,2,7,9
144,2011-01-06,1,0,1,23,0,3,1,1,0.166,0.0709,0.7176,0.4986,1,2,3
145,2011-01-07,1,0,1,0,0,4,1,2,0.1387,0.1945,0.4516,0.4592,1,3,4
146,2011-01-07,1,0,1,1,0,4,1,2,0.1634,0.1853,0.4697,0.4401,1,3,4
147,2011-01-07,1,0,1,2,0,4,1,2,0.1639,0.1745,0.5127,0.4764,1,3,4
148,2011-01-07,1,0,1,3,0,4,1,2,0.1442,0.1796,0.4498,0.4546,2,6,8
149,2011-01-07,1,0,1,4,0,4,1,2,0.1778,0.2079,0.5274,0.4747,6,21,27
150,2011-01-07,1,0,1,5,0,4,1,2,0.1489,0.2084,0.5175,0.462,15,49,64
151,2011-01-07,1,0,1,6,0,4,1,2,0.1457,0.1857,0.5236,0.4546,26,89,115
152,2011-01-07,1,0,1,7,0,4,1,2,0.1683,0.1748,0.4761,0.4394,40,138,178
153,2011-01-07,1,0,1,8,0,4,1,2,0.1598,0.193,0.4491,0.4499,33,114,147
154,2011-01-07,1,0,1,9,0,4,1,2,0.1638,0.2007,0.5421,0.4721,34,117,151
155,2011-01-07,1,0,1,10,0,4,1,2,0.1754,0.1802,0.5057,0.4265,25,85,110
156,2011-01-07,1,0,1,11,0,4,1,2,0.161,0.1838,0.4623,0.4493,12,42,54
157,2011-01-07,1,0,1,12,0,4,1,2,0.162,0.1837,0.4695,0.4631,9,29,38
158,2011-01-07,1,0,1,13,0,4,1,2,0.1448,0.1965,0.4987,0.4648,8,27,35
159,2011-01-07,1,0,1,14,0,4,1,2,0.1465,0.1795,0.4909,0.437,21,74,95
160,2011-01-07,1,0,1,15,0,4,1,2,0.1515,0.1885,0.4743,0.4541,40,136,176
161,2011-01-07,1,0,1,16,0,4,1,2,0.1526,0.1887,0.4531,0.4337,60,206,266
162,2011-01-07,1,0,1,17,0,4,1,2,0.1688,0.2084,0.5129,0.4672,54,184,238
163,2011-01-07,1,0,1,18,0,4,1,2,0.1576,0.1912,0.4729,0.4687,55,188,243
164,2011-01-07,1,0,1,19,0,4,1,2,0.1509,0.1844,0.5261,0.4493,33,113,146
165,2011-01-07,1,0,1,20,0,4,1,2,0.1632,0.2097,0.5408,0.4783,21,73,94
166,2011-01-07,1,0,1,21,0,4,1,2,0.1717,0.2039,0.4463,0.4672,7,25,32
167,2011-01-07,1,0,1,22,0,4,1,2,0.1452,0.1872,0.471,0.4781,3,10,13
168,2011-01-07,1,0,1,23,0,4,1,2,0.1594,0.1832,0.4773,0.4709,1,3,4
169,2011-01-08,1,0,1,0,0,5,0,2,0.1352,0.1257,0.4774,0.2027,0,1,1
170,2011-01-08,1,0,1,1,0,5,0,2,0.108,0.1098,0.52,0.21,0,1,1
171,2011-01-08,1,0,1,2,0,5,0,2,0.1343,0.1226,0.5516,0.1878,0,1,1
172,2011-01-08,1,0,1,3,0,5,0,2,0.1039,0.1118,0.5372,0.2109,0,1,1
173,2011-01-08,1,0,1,4,0,5,0,2,0.1273,0.1199,0.5279,0.2106,0,1,1
174,2011-01-08,1,0,1,5,0,5,0,2,0.1348,0.1066,0.4902,0.2052,1,3,4
175,2011-01-08,1,0,1,6,0,5,0,2,0.1095,0.1212,0.5324,0.1752,3,7,10
176,2011-01-08,1,0,1,7,0,5,0,2,0.1074,0.1124,0.5483,0.2271,5,12,17
177,2011-01-08,1,0,1,8,0,5,0,2,0.1303,0.1168,0.4883,0.1911,10,23,33
178,2011-01-08,1,0,1,9,0,5,0,2,0.1004,0.1289,0.5427,0.2268,17,37,54
179,2011-01-08,1,0,1,10,0,5,0,2,0.1105,0.1337,0.5481,0.1965,29,64,93
180,2011-01-08,1,0,1,11,0,5,0,2,0.1027,0.1267,0.4937,0.23,34,73,107
181,2011-01-08,1,0,1,12,0,5,0,2,0.1035,0.1218,0.5102,0.1851,39,85,124
182,2011-01-08,1,0,1,13,0,5,0,2,0.1014,0.1038,0.5484,0.2328,47,103,150
183,2011-01-08,1,0,1,14,0,5,0,2,0.1346,0.1345,0.5154,0.1833,44,95,139
184,2011-01-08,1,0,1,15,0,5,0,2,0.1191,0.1379,0.4893,0.1972,27,59,86
185,2011-01-08,1,0,1,16,0,5,0,2,0.1195,0.1148,0.535,0.1913,21,46,67
186,2011-01-08,1,0,1,17,0,5,0,2,0.1259,0.1197,0.5555,0.2144,17,37,54
187,2011-01-08,1,0,1,18,0,5,0,2,0.1209,0.1019,0.54,0.2163,10,21,31
188,2011-01-08,1,0,1,19,0,5,0,2,0.1305,0.1214,0.4993,0.2227,6,12,18
189,2011-01-08,1,0,1,20,0,5,0,2,0.114,0.133,0.5194,0.2071,3,5,8
190,2011-01-08,1,0,1,21,0,5,0,2,0.124,0.1252,0.5406,0.225,1,3,4
191,2011-01-08,1,0,1,22,0,5,0,2,0.1091,0.1046,0.4913,0.193,0,1,1
192,2011-01-08,1,0,1,23,0,5,0,2,0.1135,0.1159,0.5628,0.1777,0,1,1
193,2011-01-09,1,0,1,0,0,6,0,3,0.1391,0.0783,0.4481,0.1905,0,2,2
194,2011-01-09,1,0,1,1,0,6,0,3,0.1413,0.0853,0.4939,0.1797,1,1,2
195,2011-01-09,1,0,1,2,0,6,0,3,0.1165,0.0765,0.4967,0.1761,1,1,2
196,2011-01-09,1,0,1,3,0,6,0,3,0.1357,0.0644,0.4569,0.1696,0,2,2
197,2011-01-09,1,0,1,4,0,6,0,3,0.144,0.1015,0.5159,0.1833,1,1,2
198,2011-01-09,1,0,1,5,0,6,0,3,0.151,0.0747,0.445,0.1652,1,4,5
199,2011-01-09,1,0,1,6,0,6,0,3,0.1519,0.0784,0.5234,0.167,3,9,12
200,2011-01-09,1,0,1,7,0,6,0,3,0.1217,0.0862,0.4818,0.185,7,20,27
201,2011-01-09,1,0,1,8,0,6,0,3,0.1425,0.0868,0.52,0.182,10,25,35
202,2011-01-09,1,0,1,9,0,6,0,3,0.1232,0.1015,0.5383,0.1989,17,44,61
203,2011-01-09,1,0,1,10,0,6,0,3,0.1202,0.0804,0.5015,0.1974,32,83,115
204,2011-01-09,1,0,1,11,0,6,0,3,0.1278,0.089,0.5389,0.1928,43,114,157
205,2011-01-09,1,0,1,12,0,6,0,3,0.135,0.102,0.521,0.1952,51,136,187
206,2011-01-09,1,0,1,13,0,6,0,3,0.132,0.0642,0.4972,0.1923,45,117,162
207,2011-01-09,1,0,1,14,0,6,0,3,0.1272,0.0803,0.4752,0.1773,43,115,158
208,2011-01-09,1,0,1,15,0,6,0,3,0.1449,0.0651,0.535,0.198,31,82,113
209,2011-01-09,1,0,1,16,0,6,0,3,0.1261,0.0952,0.5017,0.1602,32,83,115
210,2011-01-09,1,0,1,17,0,6,0,3,0.1247,0.0937,0.4894,0.146,16,42,58
211,2011-01-09,1,0,1,18,0,6,0,3,0.1403,0.1012,0.4422,0.198,13,33,46
212,2011-01-09,1,0,1,19,0,6,0,3,0.1491,0.0644,0.44,0.158,6,14,20
213,2011-01-09,1,0,1,20,0,6,0,3,0.1494,0.1002,0.4991,0.1849,3,7,10
214,2011-01-09,1,0,1,21,0,6,0,3,0.1268,0.0988,0.4795,0.1548,1,3,4
215,2011-01-09,1,0,1,22,0,6,0,3,0.1322,0.0697,0.4599,0.1526,0,2,2
216,2011-01-09,1,0,1,23,0,6,0,3,0.1438,0.0898,0.4601,0.1537,0,1,1
217,2011-01-10,1,0,1,0,0,0,1,1,0.1448,0.1583,0.6846,0.5826,1,2,3
218,2011-01-10,1,0,1,1,0,0,1,1,0.1191,0.1736,0.7036,0.6041,1,3,4
219,2011-01-10,1,0,1,2,0,0,1,1,0.1241,0.1546,0.651,0.6053,1,2,3
220,2011-01-10,1,0,1,3,0,0,1,1,0.128,0.173,0.6469,0.5705,2,5,7
221,2011-01-10,1,0,1,4,0,0,1,1,0.1517,0.15,0.6622,0.6087,5,18,23
222,2011-01-10,1,0,1,5,0,0,1,1,0.1405,0.1808,0.6892,0.5528,13,41,54
223,2011-01-10,1,0,1,6,0,0,1,1,0.1446,0.1827,0.6948,0.5529,26,86,112
224,2011-01-10,1,0,1,7,0,0,1,1,0.1306,0.1484,0.6592,0.5922,33,111,144
225,2011-01-10,1,0,1,8,0,0,1,1,0.1345,0.1566,0.6612,0.5862,35,115,150
226,2011-01-10,1,0,1,9,0,0,1,1,0.1269,0.1748,0.6952,0.5696,39,129,168
227,2011-01-10,1,0,1,10,0,0,1,1,0.1363,0.1731,0.669,0.5576,20,65,85
228,2011-01-10,1,0,1,11,0,0,1,1,0.1348,0.1749,0.6584,0.5769,13,41,54
229,2011-01-10,1,0,1,12,0,0,1,1,0.1426,0.1746,0.6486,0.5974,6,22,28
230,2011-01-10,1,0,1,13,0,0,1,1,0.1484,0.1577,0.6552,0.6068,10,33,43
231,2011-01-10,1,0,1,14,0,0,1,1,0.1365,0.1645,0.6553,0.6002,21,70,91
232,2011-01-10,1,0,1,15,0,0,1,1,0.1269,0.1532,0.689,0.5692,32,107,139
233,2011-01-10,1,0,1,16,0,0,1,1,0.1488,0.1707,0.7138,0.5715,43,144,187
234,2011-01-10,1,0,1,17,0,0,1,1,0.1233,0.1839,0.7208,0.5654,47,153,200
235,2011-01-10,1,0,1,18,0,0,1,1,0.134,0.1505,0.7166,0.573,59,195,254
236,2011-01-10,1,0,1,19,0,0,1,1,0.1455,0.152,0.7067,0.5717,29,95,124
237,2011-01-10,1,0,1,20,0,0,1,1,0.1226,0.148,0.7057,0.5602,22,73,95
238,2011-01-10,1,0,1,21,0,0,1,1,0.1237,0.1757,0.7185,0.6069,6,22,28
239,2011-01-10,1,0,1,22,0,0,1,1,0.1183,0.1613,0.7008,0.5859,2,8,10
240,2011-01-10,1,0,1,23,0,0,1,1,0.1303,0.1787,0.6482,0.5705,1,3,4
241,2011-01-11,1,0,1,0,0,1,1,1,0.2219,0.2316,0.4947,0.4678,1,3,4
242,2011-01-11,1,0,1,1,0,1,1,1,0.201,0.2509,0.5525,0.4443,1,3,4
243,2011-01-11,1,0,1,2,0,1,1,1,0.2301,0.2493,0.5291,0.4484,1,2,3
244,2011-01-11,1,0,1,3,0,1,1,1,0.2028,0.235,0.5341,0.4284,1,5,6
245,2011-01-11,1,0,1,4,0,1,1,1,0.2033,0.229,0.5021,0.4807,6,18,24
246,2011-01-11,1,0,1,5,0,1,1,1,0.2353,0.2526,0.5534,0.4245,12,38,50
247,2011-01-11,1,0,1,6,0,1,1,1,0.2351,0.2582,0.5031,0.4617,21,68,89
248,2011-01-11,1,0,1,7,0,1,1,1,0.2182,0.2262,0.5515,0.4749,34,113,147
249,2011-01-11,1,0,1,8,0,1,1,1,0.2308,0.2622,0.5581,0.4662,36,120,156
250,2011-01-11,1,0,1,9,0,1,1,1,0.2097,0.2393,0.5564,0.4626,28,93,121
251,2011-01-11,1,0,1,10,0,1,1,1,0.2029,0.2356,0.5024,0.4452,23,76,99
252,2011-01-11,1,0,1,11,0,1,1,1,0.2161,0.2349,0.5457,0.4692,10,32,42
253,2011-01-11,1,0,1,12,0,1,1,1,0.2261,0.2458,0.5453,0.4269,7,21,28
254,2011-01-11,1,0,1,13,0,1,1,1,0.2244,0.2314,0.5424,0.4492,9,29,38
255,2011-01-11,1,0,1,14,0,1,1,1,0.2077,0.2379,0.4977,0.4708,18,58,76
256,2011-01-11,1,0,1,15,0,1,1,1,0.2222,0.2331,0.5029,0.4257,27,88,115
257,2011-01-11,1,0,1,16,0,1,1,1,0.2311,0.2503,0.5687,0.4696,56,184,240
258,2011-01-11,1,0,1,17,0,1,1,1,0.2251,0.2415,0.5653,0.4254,45,148,193
259,2011-01-11,1,0,1,18,0,1,1,1,0.2028,0.2356,0.582,0.4666,51,169,220
260,2011-01-11,1,0,1,19,0,1,1,1,0.2075,0.2354,0.5725,0.4623,27,91,118
261,2011-01-11,1,0,1,20,0,1,1,1,0.2182,0.2581,0.5554,0.4282,20,64,84
262,2011-01-11,1,0,1,21,0,1,1,1,0.2276,0.2473,0.5711,0.4806,7,23,30
263,2011-01-11,1,0,1,22,0,1,1,1,0.2291,0.2477,0.5467,0.4791,2,8,10
264,2011-01-11,1,0,1,23,0,1,1,1,0.211,0.2479,0.4988,0.4613,1,3,4
265,2011-01-12,1,0,1,0,0,2,1,2,0.169,0.153,0.6214,0.4088,1,4,5
266,2011-01-12,1,0,1,1,0,2,1,2,0.1414,0.1579,0.6621,0.4058,1,3,4
267,2011-01-12,1,0,1,2,0,2,1,2,0.1658,0.1741,0.7125,0.4209,1,3,4
268,2011-01-12,1,0,1,3,0,2,1,2,0.1691,0.1872,0.6382,0.4,2,5,7
269,2011-01-12,1,0,1,4,0,2,1,2,0.1466,0.1675,0.7012,0.3658,6,18,24
270,2011-01-12,1,0,1,5,0,2,1,2,0.1736,0.15,0.7097,0.37,18,51,69
271,2011-01-12,1,0,1,6,0,2,1,2,0.1548,0.1515,0.6831,0.3887,33,93,126
272,2011-01-12,1,0,1,7,0,2,1,2,0.1764,0.1856,0.65,0.3897,40,117,157
273,2011-01-12,1,0,1,8,0,2,1,2,0.1439,0.1506,0.6199,0.3926,42,122,164
274,2011-01-12,1,0,1,9,0,2,1,2,0.1653,0.1545,0.6288,0.3936,41,118,159
